;cep;bairro
2666;90870-311;Medianeira
2667;91910-004;Camaquã
2668;91740-070;Nonoai
2669;90840-080;Santa Tereza
2670;91755-390;Aberta dos Morros
2671;90820-110;Cristal
2672;91920-660;Tristeza
2673;91750-082;Campo Novo
2674;91712-091;Cascata
2675;91430-470;Jardim Carvalho
2676;91520-532;Vila São José
2677;91710-081;Coronel Aparício Borges
2678;91720-012;Cascata
2679;91720-622;Cascata
2680;91740-521;Vila Nova
2681;91780-601;Ponta Grossa
2682;91787-381;Belém Velho
2683;91900-280;Tristeza
2684;91910-260;Camaquã
2685;91740-813;Vila Nova
2686;91430-490;Jardim Carvalho
2687;91120-260;Sarandi
2688;90245-001;Farrapos
2689;91540-500;Agronomia
2690;90830-700;Santa Tereza
2691;90870-311;Medianeira
2692;91910-004;Camaquã
2693;91740-070;Nonoai
2694;90840-080;Santa Tereza
2695;91755-390;Aberta dos Morros
2696;90820-110;Cristal
2697;91920-660;Tristeza
2698;91750-082;Campo Novo
2699;91712-091;Cascata
2700;91430-470;Jardim Carvalho
2701;91520-532;Vila São José
2702;91710-081;Coronel Aparício Borges
2703;91720-012;Cascata
2704;91720-622;Cascata
2705;91740-521;Vila Nova
2706;91780-601;Ponta Grossa
2707;91787-381;Belém Velho
2708;91900-280;Tristeza
2709;91910-260;Camaquã
2710;91740-813;Vila Nova
2711;91430-490;Jardim Carvalho
2712;91120-260;Sarandi
2713;90245-001;Farrapos
2714;91540-500;Agronomia
2715;90830-700;Santa Tereza
2716;90870-311;Medianeira
2717;91910-004;Camaquã
2718;91740-070;Nonoai
2719;90840-080;Santa Tereza
2720;91755-390;Aberta dos Morros
2721;90820-110;Cristal
2722;91920-660;Tristeza
2723;91750-082;Campo Novo
2724;91712-091;Cascata
2725;91430-470;Jardim Carvalho
2726;91520-532;Vila São José
2727;91710-081;Coronel Aparício Borges
2728;91720-012;Cascata
2729;91720-622;Cascata
2730;91740-521;Vila Nova
2731;91780-601;Ponta Grossa
2732;91787-381;Belém Velho
2733;91900-280;Tristeza
2734;91910-260;Camaquã
2735;91740-813;Vila Nova
2736;91430-490;Jardim Carvalho
2737;91120-260;Sarandi
2738;90245-001;Farrapos
2739;91540-500;Agronomia
2740;90830-700;Santa Tereza
2741;90870-311;Medianeira
2742;91910-004;Camaquã
2743;91740-070;Nonoai
2744;90840-080;Santa Tereza
2745;91755-390;Aberta dos Morros
2746;90820-110;Cristal
2747;91920-660;Tristeza
2748;91750-082;Campo Novo
2749;91712-091;Cascata
2750;91430-470;Jardim Carvalho
2751;91520-532;Vila São José
2752;91710-081;Coronel Aparício Borges
2753;91720-012;Cascata
2754;91720-622;Cascata
2755;91740-521;Vila Nova
2756;91780-601;Ponta Grossa
2757;91787-381;Belém Velho
2758;91900-280;Tristeza
2759;91910-260;Camaquã
2760;91740-813;Vila Nova
2761;91430-490;Jardim Carvalho
2762;91120-260;Sarandi
2763;90245-001;Farrapos
2764;91540-500;Agronomia
2765;90830-700;Santa Tereza
2766;90870-311;Medianeira
2767;91910-004;Camaquã
2768;91740-070;Nonoai
2769;90840-080;Santa Tereza
2770;91755-390;Aberta dos Morros
2771;90820-110;Cristal
2772;91920-660;Tristeza
2773;91750-082;Campo Novo
2774;91712-091;Cascata
2775;91430-470;Jardim Carvalho
2776;91520-532;Vila São José
2777;91710-081;Coronel Aparício Borges
2778;91720-012;Cascata
2779;91720-622;Cascata
2780;91740-521;Vila Nova
2781;91780-601;Ponta Grossa
2782;91787-381;Belém Velho
2783;91900-280;Tristeza
2784;91910-260;Camaquã
2785;91740-813;Vila Nova
2786;91430-490;Jardim Carvalho
2787;91120-260;Sarandi
2788;90245-001;Farrapos
2789;91540-500;Agronomia
2790;90830-700;Santa Tereza
2791;90870-311;Medianeira
2792;91910-004;Camaquã
2793;91740-070;Nonoai
2794;90840-080;Santa Tereza
2795;91755-390;Aberta dos Morros
2796;90820-110;Cristal
2797;91920-660;Tristeza
2798;91750-082;Campo Novo
2799;91712-091;Cascata
2800;91430-470;Jardim Carvalho
2801;91520-532;Vila São José
2802;91710-081;Coronel Aparício Borges
2803;91720-012;Cascata
2804;91720-622;Cascata
2805;91740-521;Vila Nova
2806;91780-601;Ponta Grossa
2807;91787-381;Belém Velho
2808;91900-280;Tristeza
2809;91910-260;Camaquã
2810;91740-813;Vila Nova
2811;91430-490;Jardim Carvalho
2812;91120-260;Sarandi
2813;90245-001;Farrapos
2814;91540-500;Agronomia
2815;90830-700;Santa Tereza
2816;90870-311;Medianeira
2817;91910-004;Camaquã
2818;91740-070;Nonoai
2819;90840-080;Santa Tereza
2820;91755-390;Aberta dos Morros
2821;90820-110;Cristal
2822;91920-660;Tristeza
2823;91750-082;Campo Novo
2824;91712-091;Cascata
2825;91430-470;Jardim Carvalho
2826;91520-532;Vila São José
2827;91710-081;Coronel Aparício Borges
2828;91720-012;Cascata
2829;91720-622;Cascata
2830;91740-521;Vila Nova
2831;91780-601;Ponta Grossa
2832;91787-381;Belém Velho
2833;91900-280;Tristeza
2834;91910-260;Camaquã
2835;91740-813;Vila Nova
2836;91430-490;Jardim Carvalho
2837;91120-260;Sarandi
2838;90245-001;Farrapos
2839;91540-500;Agronomia
2840;90830-700;Santa Tereza
2841;90870-311;Medianeira
2842;91910-004;Camaquã
2843;91740-070;Nonoai
2844;90840-080;Santa Tereza
2845;91755-390;Aberta dos Morros
2846;90820-110;Cristal
2847;91920-660;Tristeza
2848;91750-082;Campo Novo
2849;91712-091;Cascata
2850;91430-470;Jardim Carvalho
2851;91520-532;Vila São José
2852;91710-081;Coronel Aparício Borges
2853;91720-012;Cascata
2854;91720-622;Cascata
2855;91740-521;Vila Nova
2856;91780-601;Ponta Grossa
2857;91787-381;Belém Velho
2858;91900-280;Tristeza
2859;91910-260;Camaquã
2860;91740-813;Vila Nova
2861;91430-490;Jardim Carvalho
2862;91120-260;Sarandi
2863;90245-001;Farrapos
2864;91540-500;Agronomia
2865;90830-700;Santa Tereza
2866;90870-311;Medianeira
2867;91910-004;Camaquã
2868;91740-070;Nonoai
2869;90840-080;Santa Tereza
2870;91755-390;Aberta dos Morros
2871;90820-110;Cristal
2872;91920-660;Tristeza
2873;91750-082;Campo Novo
2874;91712-091;Cascata
2875;91430-470;Jardim Carvalho
2876;91520-532;Vila São José
2877;91710-081;Coronel Aparício Borges
2878;91720-012;Cascata
2879;91720-622;Cascata
2880;91740-521;Vila Nova
2881;91780-601;Ponta Grossa
2882;91787-381;Belém Velho
2883;91900-280;Tristeza
2884;91910-260;Camaquã
2885;91740-813;Vila Nova
2886;91430-490;Jardim Carvalho
2887;91120-260;Sarandi
2888;90245-001;Farrapos
2889;91540-500;Agronomia
2890;90830-700;Santa Tereza
2891;90870-311;Medianeira
2892;91910-004;Camaquã
2893;91740-070;Nonoai
2894;90840-080;Santa Tereza
2895;91755-390;Aberta dos Morros
2896;90820-110;Cristal
2897;91920-660;Tristeza
2898;91750-082;Campo Novo
2899;91712-091;Cascata
2900;91430-470;Jardim Carvalho
2901;91520-532;Vila São José
2902;91710-081;Coronel Aparício Borges
2903;91720-012;Cascata
2904;91720-622;Cascata
2905;91740-521;Vila Nova
2906;91780-601;Ponta Grossa
2907;91787-381;Belém Velho
2908;91900-280;Tristeza
2909;91910-260;Camaquã
2910;91740-813;Vila Nova
2911;91430-490;Jardim Carvalho
2912;91120-260;Sarandi
2913;90245-001;Farrapos
2914;91540-500;Agronomia
2915;90830-700;Santa Tereza
2916;90870-311;Medianeira
2917;91910-004;Camaquã
2918;91740-070;Nonoai
2919;90840-080;Santa Tereza
2920;91755-390;Aberta dos Morros
2921;90820-110;Cristal
2922;91920-660;Tristeza
2923;91750-082;Campo Novo
2924;91712-091;Cascata
2925;91430-470;Jardim Carvalho
2926;91520-532;Vila São José
2927;91710-081;Coronel Aparício Borges
2928;91720-012;Cascata
2929;91720-622;Cascata
2930;91740-521;Vila Nova
2931;91780-601;Ponta Grossa
2932;91787-381;Belém Velho
2933;91900-280;Tristeza
2934;91910-260;Camaquã
2935;91740-813;Vila Nova
2936;91430-490;Jardim Carvalho
2937;91120-260;Sarandi
2938;90245-001;Farrapos
2939;91540-500;Agronomia
2940;90830-700;Santa Tereza
2941;90870-311;Medianeira
2942;91910-004;Camaquã
2943;91740-070;Nonoai
2944;90840-080;Santa Tereza
2945;91755-390;Aberta dos Morros
2946;90820-110;Cristal
2947;91920-660;Tristeza
2948;91750-082;Campo Novo
2949;91712-091;Cascata
2950;91430-470;Jardim Carvalho
2951;91520-532;Vila São José
2952;91710-081;Coronel Aparício Borges
2953;91720-012;Cascata
2954;91720-622;Cascata
2955;91740-521;Vila Nova
2956;91780-601;Ponta Grossa
2957;91787-381;Belém Velho
2958;91900-280;Tristeza
2959;91910-260;Camaquã
2960;91740-813;Vila Nova
2961;91430-490;Jardim Carvalho
2962;91120-260;Sarandi
2963;90245-001;Farrapos
2964;91540-500;Agronomia
2965;90830-700;Santa Tereza
2966;90870-311;Medianeira
2967;91910-004;Camaquã
2968;91740-070;Nonoai
2969;90840-080;Santa Tereza
2970;91755-390;Aberta dos Morros
2971;90820-110;Cristal
2972;91920-660;Tristeza
2973;91750-082;Campo Novo
2974;91712-091;Cascata
2975;91430-470;Jardim Carvalho
2976;91520-532;Vila São José
2977;91710-081;Coronel Aparício Borges
2978;91720-012;Cascata
2979;91720-622;Cascata
2980;91740-521;Vila Nova
2981;91780-601;Ponta Grossa
2982;91787-381;Belém Velho
2983;91900-280;Tristeza
2984;91910-260;Camaquã
2985;91740-813;Vila Nova
2986;91430-490;Jardim Carvalho
2987;91120-260;Sarandi
2988;90245-001;Farrapos
2989;91540-500;Agronomia
2990;90830-700;Santa Tereza
2991;90870-311;Medianeira
2992;91910-004;Camaquã
2993;91740-070;Nonoai
2994;90840-080;Santa Tereza
2995;91755-390;Aberta dos Morros
2996;90820-110;Cristal
2997;91920-660;Tristeza
2998;91750-082;Campo Novo
2999;91712-091;Cascata
3000;91430-470;Jardim Carvalho
3001;91520-532;Vila São José
3002;91710-081;Coronel Aparício Borges
3003;91720-012;Cascata
3004;91720-622;Cascata
3005;91740-521;Vila Nova
3006;91780-601;Ponta Grossa
3007;91787-381;Belém Velho
3008;91900-280;Tristeza
3009;91910-260;Camaquã
3010;91740-813;Vila Nova
3011;91430-490;Jardim Carvalho
3012;91120-260;Sarandi
3013;90245-001;Farrapos
3014;91540-500;Agronomia
3015;90830-700;Santa Tereza
3016;90870-311;Medianeira
3017;91910-004;Camaquã
3018;91740-070;Nonoai
3019;90840-080;Santa Tereza
3020;91755-390;Aberta dos Morros
3021;90820-110;Cristal
3022;91920-660;Tristeza
3023;91750-082;Campo Novo
3024;91712-091;Cascata
3025;91430-470;Jardim Carvalho
3026;91520-532;Vila São José
3027;91710-081;Coronel Aparício Borges
3028;91720-012;Cascata
3029;91720-622;Cascata
3030;91740-521;Vila Nova
3031;91780-601;Ponta Grossa
3032;91787-381;Belém Velho
3033;91900-280;Tristeza
3034;91910-260;Camaquã
3035;91740-813;Vila Nova
3036;91430-490;Jardim Carvalho
3037;91120-260;Sarandi
3038;90245-001;Farrapos
3039;91540-500;Agronomia
3040;90830-700;Santa Tereza
3041;90870-311;Medianeira
3042;91910-004;Camaquã
3043;91740-070;Nonoai
3044;90840-080;Santa Tereza
3045;91755-390;Aberta dos Morros
3046;90820-110;Cristal
3047;91920-660;Tristeza
3048;91750-082;Campo Novo
3049;91712-091;Cascata
3050;91430-470;Jardim Carvalho
3051;91520-532;Vila São José
3052;91710-081;Coronel Aparício Borges
3053;91720-012;Cascata
3054;91720-622;Cascata
3055;91740-521;Vila Nova
3056;91780-601;Ponta Grossa
3057;91787-381;Belém Velho
3058;91900-280;Tristeza
3059;91910-260;Camaquã
3060;91740-813;Vila Nova
3061;91430-490;Jardim Carvalho
3062;91120-260;Sarandi
3063;90245-001;Farrapos
3064;91540-500;Agronomia
3065;90830-700;Santa Tereza
3066;90870-311;Medianeira
