;cep;bairro
0;91790-401;Restinga
1;91787-631;Lami
2;91320-360;Vila Jardim
3;91430-560;Jardim Carvalho
4;91570-261;Lomba do Pinheiro
5;90840-291;Nonoai
6;90840-090;Santa Tereza
7;90820-300;Cristal
8;90880-550;Santa Tereza
9;90843-330;Nonoai
10;90870-061;Glória
11;91420-650;Bom Jesus
12;91320-400;Vila Jardim
13;91320-440;Vila Jardim
14;91510-301;Coronel Aparício Borges
15;91760-631;Jardim Isabel
16;90830-601;Cristal
17;91910-690;Camaquã
18;91740-121;Cavalhada
19;91920-003;Camaquã
20;91750-083;Campo Novo
21;91712-202;Cascata
22;91710-550;Coronel Aparício Borges
23;90610-330;Jardim Botânico
24;91330-610;Vila Jardim
25;91790-401;Restinga
26;91787-631;Lami
27;91320-360;Vila Jardim
28;91430-560;Jardim Carvalho
29;91570-261;Lomba do Pinheiro
30;90840-291;Nonoai
31;90840-090;Santa Tereza
32;90820-300;Cristal
33;90880-550;Santa Tereza
34;90843-330;Nonoai
35;90870-061;Glória
36;91420-650;Bom Jesus
37;91320-400;Vila Jardim
38;91320-440;Vila Jardim
39;91510-301;Coronel Aparício Borges
40;91760-631;Jardim Isabel
41;90830-601;Cristal
42;91910-690;Camaquã
43;91740-121;Cavalhada
44;91920-003;Camaquã
45;91750-083;Campo Novo
46;91712-202;Cascata
47;91710-550;Coronel Aparício Borges
48;90610-330;Jardim Botânico
49;91330-610;Vila Jardim
50;91790-401;Restinga
51;91787-631;Lami
52;91320-360;Vila Jardim
53;91430-560;Jardim Carvalho
54;91570-261;Lomba do Pinheiro
55;90840-291;Nonoai
56;90840-090;Santa Tereza
57;90820-300;Cristal
58;90880-550;Santa Tereza
59;90843-330;Nonoai
60;90870-061;Glória
61;91420-650;Bom Jesus
62;91320-400;Vila Jardim
63;91320-440;Vila Jardim
64;91510-301;Coronel Aparício Borges
65;91760-631;Jardim Isabel
66;90830-601;Cristal
67;91910-690;Camaquã
68;91740-121;Cavalhada
69;91920-003;Camaquã
70;91750-083;Campo Novo
71;91712-202;Cascata
72;91710-550;Coronel Aparício Borges
73;90610-330;Jardim Botânico
74;91330-610;Vila Jardim
75;91790-401;Restinga
76;91787-631;Lami
77;91320-360;Vila Jardim
78;91430-560;Jardim Carvalho
79;91570-261;Lomba do Pinheiro
80;90840-291;Nonoai
81;90840-090;Santa Tereza
82;90820-300;Cristal
83;90880-550;Santa Tereza
84;90843-330;Nonoai
85;90870-061;Glória
86;91420-650;Bom Jesus
87;91320-400;Vila Jardim
88;91320-440;Vila Jardim
89;91510-301;Coronel Aparício Borges
90;91760-631;Jardim Isabel
91;90830-601;Cristal
92;91910-690;Camaquã
93;91740-121;Cavalhada
94;91920-003;Camaquã
95;91750-083;Campo Novo
96;91712-202;Cascata
97;91710-550;Coronel Aparício Borges
98;90610-330;Jardim Botânico
99;91330-610;Vila Jardim
100;91790-401;Restinga
101;91787-631;Lami
102;91320-360;Vila Jardim
103;91430-560;Jardim Carvalho
104;91570-261;Lomba do Pinheiro
105;90840-291;Nonoai
106;90840-090;Santa Tereza
107;90820-300;Cristal
108;90880-550;Santa Tereza
109;90843-330;Nonoai
110;90870-061;Glória
111;91420-650;Bom Jesus
112;91320-400;Vila Jardim
113;91320-440;Vila Jardim
114;91510-301;Coronel Aparício Borges
115;91760-631;Jardim Isabel
116;90830-601;Cristal
117;91910-690;Camaquã
118;91740-121;Cavalhada
119;91920-003;Camaquã
120;91750-083;Campo Novo
121;91712-202;Cascata
122;91710-550;Coronel Aparício Borges
123;90610-330;Jardim Botânico
124;91330-610;Vila Jardim
125;91790-401;Restinga
126;91787-631;Lami
127;91320-360;Vila Jardim
128;91430-560;Jardim Carvalho
129;91570-261;Lomba do Pinheiro
130;90840-291;Nonoai
131;90840-090;Santa Tereza
132;90820-300;Cristal
133;90880-550;Santa Tereza
134;90843-330;Nonoai
135;90870-061;Glória
136;91420-650;Bom Jesus
137;91320-400;Vila Jardim
138;91320-440;Vila Jardim
139;91510-301;Coronel Aparício Borges
140;91760-631;Jardim Isabel
141;90830-601;Cristal
142;91910-690;Camaquã
143;91740-121;Cavalhada
144;91920-003;Camaquã
145;91750-083;Campo Novo
146;91712-202;Cascata
147;91710-550;Coronel Aparício Borges
148;90610-330;Jardim Botânico
149;91330-610;Vila Jardim
150;91790-401;Restinga
151;91787-631;Lami
152;91320-360;Vila Jardim
153;91430-560;Jardim Carvalho
154;91570-261;Lomba do Pinheiro
155;90840-291;Nonoai
156;90840-090;Santa Tereza
157;90820-300;Cristal
158;90880-550;Santa Tereza
159;90843-330;Nonoai
160;90870-061;Glória
161;91420-650;Bom Jesus
162;91320-400;Vila Jardim
163;91320-440;Vila Jardim
164;91510-301;Coronel Aparício Borges
165;91760-631;Jardim Isabel
166;90830-601;Cristal
167;91910-690;Camaquã
168;91740-121;Cavalhada
169;91920-003;Camaquã
170;91750-083;Campo Novo
171;91712-202;Cascata
172;91710-550;Coronel Aparício Borges
173;90610-330;Jardim Botânico
174;91330-610;Vila Jardim
175;91790-401;Restinga
176;91787-631;Lami
177;91320-360;Vila Jardim
178;91430-560;Jardim Carvalho
179;91570-261;Lomba do Pinheiro
180;90840-291;Nonoai
181;90840-090;Santa Tereza
182;90820-300;Cristal
183;90880-550;Santa Tereza
184;90843-330;Nonoai
185;90870-061;Glória
186;91420-650;Bom Jesus
187;91320-400;Vila Jardim
188;91320-440;Vila Jardim
189;91510-301;Coronel Aparício Borges
190;91760-631;Jardim Isabel
191;90830-601;Cristal
192;91910-690;Camaquã
193;91740-121;Cavalhada
194;91920-003;Camaquã
195;91750-083;Campo Novo
196;91712-202;Cascata
197;91710-550;Coronel Aparício Borges
198;90610-330;Jardim Botânico
199;91330-610;Vila Jardim
200;91790-401;Restinga
201;91787-631;Lami
202;91320-360;Vila Jardim
203;91430-560;Jardim Carvalho
204;91570-261;Lomba do Pinheiro
205;90840-291;Nonoai
206;90840-090;Santa Tereza
207;90820-300;Cristal
208;90880-550;Santa Tereza
209;90843-330;Nonoai
210;90870-061;Glória
211;91420-650;Bom Jesus
212;91320-400;Vila Jardim
213;91320-440;Vila Jardim
214;91510-301;Coronel Aparício Borges
215;91760-631;Jardim Isabel
216;90830-601;Cristal
217;91910-690;Camaquã
218;91740-121;Cavalhada
219;91920-003;Camaquã
220;91750-083;Campo Novo
221;91712-202;Cascata
222;91710-550;Coronel Aparício Borges
223;90610-330;Jardim Botânico
224;91330-610;Vila Jardim
225;91790-401;Restinga
226;91787-631;Lami
227;91320-360;Vila Jardim
228;91430-560;Jardim Carvalho
229;91570-261;Lomba do Pinheiro
230;90840-291;Nonoai
231;90840-090;Santa Tereza
232;90820-300;Cristal
233;90880-550;Santa Tereza
234;90843-330;Nonoai
235;90870-061;Glória
236;91420-650;Bom Jesus
237;91320-400;Vila Jardim
238;91320-440;Vila Jardim
239;91510-301;Coronel Aparício Borges
240;91760-631;Jardim Isabel
241;90830-601;Cristal
242;91910-690;Camaquã
243;91740-121;Cavalhada
244;91920-003;Camaquã
245;91750-083;Campo Novo
246;91712-202;Cascata
247;91710-550;Coronel Aparício Borges
248;90610-330;Jardim Botânico
249;91330-610;Vila Jardim
250;91790-401;Restinga
251;91787-631;Lami
252;91320-360;Vila Jardim
253;91430-560;Jardim Carvalho
254;91570-261;Lomba do Pinheiro
255;90840-291;Nonoai
256;90840-090;Santa Tereza
257;90820-300;Cristal
258;90880-550;Santa Tereza
259;90843-330;Nonoai
260;90870-061;Glória
261;91420-650;Bom Jesus
262;91320-400;Vila Jardim
263;91320-440;Vila Jardim
264;91510-301;Coronel Aparício Borges
265;91760-631;Jardim Isabel
266;90830-601;Cristal
267;91910-690;Camaquã
268;91740-121;Cavalhada
269;91920-003;Camaquã
270;91750-083;Campo Novo
271;91712-202;Cascata
272;91710-550;Coronel Aparício Borges
273;90610-330;Jardim Botânico
274;91330-610;Vila Jardim
275;91790-401;Restinga
276;91787-631;Lami
277;91320-360;Vila Jardim
278;91430-560;Jardim Carvalho
279;91570-261;Lomba do Pinheiro
280;90840-291;Nonoai
281;90840-090;Santa Tereza
282;90820-300;Cristal
283;90880-550;Santa Tereza
284;90843-330;Nonoai
285;90870-061;Glória
286;91420-650;Bom Jesus
287;91320-400;Vila Jardim
288;91320-440;Vila Jardim
289;91510-301;Coronel Aparício Borges
290;91760-631;Jardim Isabel
291;90830-601;Cristal
292;91910-690;Camaquã
293;91740-121;Cavalhada
294;91920-003;Camaquã
295;91750-083;Campo Novo
296;91712-202;Cascata
297;91710-550;Coronel Aparício Borges
298;90610-330;Jardim Botânico
299;91330-610;Vila Jardim
300;91790-401;Restinga
301;91787-631;Lami
302;91320-360;Vila Jardim
303;91430-560;Jardim Carvalho
304;91570-261;Lomba do Pinheiro
305;90840-291;Nonoai
306;90840-090;Santa Tereza
307;90820-300;Cristal
308;90880-550;Santa Tereza
309;90843-330;Nonoai
310;90870-061;Glória
311;91420-650;Bom Jesus
312;91320-400;Vila Jardim
313;91320-440;Vila Jardim
314;91510-301;Coronel Aparício Borges
315;91760-631;Jardim Isabel
316;90830-601;Cristal
317;91910-690;Camaquã
318;91740-121;Cavalhada
319;91920-003;Camaquã
320;91750-083;Campo Novo
321;91712-202;Cascata
322;91710-550;Coronel Aparício Borges
323;90610-330;Jardim Botânico
324;91330-610;Vila Jardim
325;91790-401;Restinga
326;91787-631;Lami
327;91320-360;Vila Jardim
328;91430-560;Jardim Carvalho
329;91570-261;Lomba do Pinheiro
330;90840-291;Nonoai
331;90840-090;Santa Tereza
332;90820-300;Cristal
333;90880-550;Santa Tereza
334;90843-330;Nonoai
335;90870-061;Glória
336;91420-650;Bom Jesus
337;91320-400;Vila Jardim
338;91320-440;Vila Jardim
339;91510-301;Coronel Aparício Borges
340;91760-631;Jardim Isabel
341;90830-601;Cristal
342;91910-690;Camaquã
343;91740-121;Cavalhada
344;91920-003;Camaquã
345;91750-083;Campo Novo
346;91712-202;Cascata
347;91710-550;Coronel Aparício Borges
348;90610-330;Jardim Botânico
349;91330-610;Vila Jardim
350;91790-401;Restinga
351;91787-631;Lami
352;91320-360;Vila Jardim
353;91430-560;Jardim Carvalho
354;91570-261;Lomba do Pinheiro
355;90840-291;Nonoai
356;90840-090;Santa Tereza
357;90820-300;Cristal
358;90880-550;Santa Tereza
359;90843-330;Nonoai
360;90870-061;Glória
361;91420-650;Bom Jesus
362;91320-400;Vila Jardim
363;91320-440;Vila Jardim
364;91510-301;Coronel Aparício Borges
365;91760-631;Jardim Isabel
366;90830-601;Cristal
367;91910-690;Camaquã
368;91740-121;Cavalhada
369;91920-003;Camaquã
370;91750-083;Campo Novo
371;91712-202;Cascata
372;91710-550;Coronel Aparício Borges
373;90610-330;Jardim Botânico
374;91330-610;Vila Jardim
375;91790-401;Restinga
376;91787-631;Lami
377;91320-360;Vila Jardim
378;91430-560;Jardim Carvalho
379;91570-261;Lomba do Pinheiro
380;90840-291;Nonoai
381;90840-090;Santa Tereza
382;90820-300;Cristal
383;90880-550;Santa Tereza
384;90843-330;Nonoai
385;90870-061;Glória
386;91420-650;Bom Jesus
387;91320-400;Vila Jardim
388;91320-440;Vila Jardim
389;91510-301;Coronel Aparício Borges
390;91760-631;Jardim Isabel
391;90830-601;Cristal
392;91910-690;Camaquã
393;91740-121;Cavalhada
394;91920-003;Camaquã
395;91750-083;Campo Novo
396;91712-202;Cascata
397;91710-550;Coronel Aparício Borges
398;90610-330;Jardim Botânico
399;91330-610;Vila Jardim
400;91790-401;Restinga
401;91787-631;Lami
402;91320-360;Vila Jardim
403;91430-560;Jardim Carvalho
404;91570-261;Lomba do Pinheiro
405;90840-291;Nonoai
406;90840-090;Santa Tereza
407;90820-300;Cristal
408;90880-550;Santa Tereza
409;90843-330;Nonoai
410;90870-061;Glória
411;91420-650;Bom Jesus
412;91320-400;Vila Jardim
413;91320-440;Vila Jardim
414;91510-301;Coronel Aparício Borges
415;91760-631;Jardim Isabel
416;90830-601;Cristal
417;91910-690;Camaquã
418;91740-121;Cavalhada
419;91920-003;Camaquã
420;91750-083;Campo Novo
421;91712-202;Cascata
422;91710-550;Coronel Aparício Borges
423;90610-330;Jardim Botânico
424;91330-610;Vila Jardim
425;91790-401;Restinga
426;91787-631;Lami
427;91320-360;Vila Jardim
428;91430-560;Jardim Carvalho
429;91570-261;Lomba do Pinheiro
430;90840-291;Nonoai
431;90840-090;Santa Tereza
432;90820-300;Cristal
433;90880-550;Santa Tereza
434;90843-330;Nonoai
435;90870-061;Glória
436;91420-650;Bom Jesus
437;91320-400;Vila Jardim
438;91320-440;Vila Jardim
439;91510-301;Coronel Aparício Borges
440;91760-631;Jardim Isabel
441;90830-601;Cristal
442;91910-690;Camaquã
443;91740-121;Cavalhada
444;91920-003;Camaquã
445;91750-083;Campo Novo
446;91712-202;Cascata
447;91710-550;Coronel Aparício Borges
448;90610-330;Jardim Botânico
449;91330-610;Vila Jardim
450;91790-401;Restinga
451;91787-631;Lami
452;91320-360;Vila Jardim
453;91430-560;Jardim Carvalho
454;91570-261;Lomba do Pinheiro
455;90840-291;Nonoai
456;90840-090;Santa Tereza
457;90820-300;Cristal
458;90880-550;Santa Tereza
459;90843-330;Nonoai
460;90870-061;Glória
461;91420-650;Bom Jesus
462;91320-400;Vila Jardim
463;91320-440;Vila Jardim
464;91510-301;Coronel Aparício Borges
465;91760-631;Jardim Isabel
466;90830-601;Cristal
467;91910-690;Camaquã
468;91740-121;Cavalhada
469;91920-003;Camaquã
470;91750-083;Campo Novo
471;91712-202;Cascata
472;91710-550;Coronel Aparício Borges
473;90610-330;Jardim Botânico
474;91330-610;Vila Jardim
475;91790-401;Restinga
476;91787-631;Lami
477;91320-360;Vila Jardim
478;91430-560;Jardim Carvalho
479;91570-261;Lomba do Pinheiro
480;90840-291;Nonoai
481;90840-090;Santa Tereza
482;90820-300;Cristal
483;90880-550;Santa Tereza
484;90843-330;Nonoai
485;90870-061;Glória
486;91420-650;Bom Jesus
487;91320-400;Vila Jardim
488;91320-440;Vila Jardim
489;91510-301;Coronel Aparício Borges
490;91760-631;Jardim Isabel
491;90830-601;Cristal
492;91910-690;Camaquã
493;91740-121;Cavalhada
494;91920-003;Camaquã
495;91750-083;Campo Novo
496;91712-202;Cascata
497;91710-550;Coronel Aparício Borges
498;90610-330;Jardim Botânico
499;91330-610;Vila Jardim
500;91790-401;Restinga
501;91787-631;Lami
502;91320-360;Vila Jardim
503;91430-560;Jardim Carvalho
504;91570-261;Lomba do Pinheiro
505;90840-291;Nonoai
506;90840-090;Santa Tereza
507;90820-300;Cristal
508;90880-550;Santa Tereza
509;90843-330;Nonoai
510;90870-061;Glória
511;91420-650;Bom Jesus
512;91320-400;Vila Jardim
513;91320-440;Vila Jardim
514;91510-301;Coronel Aparício Borges
515;91760-631;Jardim Isabel
516;90830-601;Cristal
517;91910-690;Camaquã
518;91740-121;Cavalhada
519;91920-003;Camaquã
520;91750-083;Campo Novo
521;91712-202;Cascata
522;91710-550;Coronel Aparício Borges
523;90610-330;Jardim Botânico
524;91330-610;Vila Jardim
525;91790-401;Restinga
526;91787-631;Lami
527;91320-360;Vila Jardim
528;91430-560;Jardim Carvalho
529;91570-261;Lomba do Pinheiro
530;90840-291;Nonoai
531;90840-090;Santa Tereza
532;90820-300;Cristal
533;90880-550;Santa Tereza
534;90843-330;Nonoai
535;90870-061;Glória
536;91420-650;Bom Jesus
537;91320-400;Vila Jardim
538;91320-440;Vila Jardim
539;91510-301;Coronel Aparício Borges
540;91760-631;Jardim Isabel
541;90830-601;Cristal
542;91910-690;Camaquã
543;91740-121;Cavalhada
544;91920-003;Camaquã
545;91750-083;Campo Novo
546;91712-202;Cascata
547;91710-550;Coronel Aparício Borges
548;90610-330;Jardim Botânico
549;91330-610;Vila Jardim
550;91790-401;Restinga
551;91787-631;Lami
552;91320-360;Vila Jardim
553;91430-560;Jardim Carvalho
554;91570-261;Lomba do Pinheiro
555;90840-291;Nonoai
556;90840-090;Santa Tereza
557;90820-300;Cristal
558;90880-550;Santa Tereza
559;90843-330;Nonoai
560;90870-061;Glória
561;91420-650;Bom Jesus
562;91320-400;Vila Jardim
563;91320-440;Vila Jardim
564;91510-301;Coronel Aparício Borges
565;91760-631;Jardim Isabel
566;90830-601;Cristal
567;91910-690;Camaquã
568;91740-121;Cavalhada
569;91920-003;Camaquã
570;91750-083;Campo Novo
571;91712-202;Cascata
572;91710-550;Coronel Aparício Borges
573;90610-330;Jardim Botânico
574;91330-610;Vila Jardim
575;91790-401;Restinga
576;91787-631;Lami
577;91320-360;Vila Jardim
578;91430-560;Jardim Carvalho
579;91570-261;Lomba do Pinheiro
580;90840-291;Nonoai
581;90840-090;Santa Tereza
582;90820-300;Cristal
583;90880-550;Santa Tereza
584;90843-330;Nonoai
585;90870-061;Glória
586;91420-650;Bom Jesus
587;91320-400;Vila Jardim
588;91320-440;Vila Jardim
589;91510-301;Coronel Aparício Borges
590;91760-631;Jardim Isabel
591;90830-601;Cristal
592;91910-690;Camaquã
593;91740-121;Cavalhada
594;91920-003;Camaquã
595;91750-083;Campo Novo
596;91712-202;Cascata
597;91710-550;Coronel Aparício Borges
598;90610-330;Jardim Botânico
599;91330-610;Vila Jardim
600;91790-401;Restinga
601;91787-631;Lami
602;91320-360;Vila Jardim
603;91430-560;Jardim Carvalho
604;91570-261;Lomba do Pinheiro
605;90840-291;Nonoai
606;90840-090;Santa Tereza
607;90820-300;Cristal
608;90880-550;Santa Tereza
609;90843-330;Nonoai
610;90870-061;Glória
611;91420-650;Bom Jesus
612;91320-400;Vila Jardim
613;91320-440;Vila Jardim
614;91510-301;Coronel Aparício Borges
615;91760-631;Jardim Isabel
616;90830-601;Cristal
617;91910-690;Camaquã
618;91740-121;Cavalhada
619;91920-003;Camaquã
620;91750-083;Campo Novo
621;91712-202;Cascata
622;91710-550;Coronel Aparício Borges
623;90610-330;Jardim Botânico
624;91330-610;Vila Jardim
625;91790-401;Restinga
626;91787-631;Lami
627;91320-360;Vila Jardim
628;91430-560;Jardim Carvalho
629;91570-261;Lomba do Pinheiro
630;90840-291;Nonoai
631;90840-090;Santa Tereza
632;90820-300;Cristal
633;90880-550;Santa Tereza
634;90843-330;Nonoai
635;90870-061;Glória
636;91420-650;Bom Jesus
637;91320-400;Vila Jardim
638;91320-440;Vila Jardim
639;91510-301;Coronel Aparício Borges
640;91760-631;Jardim Isabel
641;90830-601;Cristal
642;91910-690;Camaquã
643;91740-121;Cavalhada
644;91920-003;Camaquã
645;91750-083;Campo Novo
646;91712-202;Cascata
647;91710-550;Coronel Aparício Borges
648;90610-330;Jardim Botânico
649;91330-610;Vila Jardim
650;91790-401;Restinga
651;91787-631;Lami
652;91320-360;Vila Jardim
653;91430-560;Jardim Carvalho
654;91570-261;Lomba do Pinheiro
655;90840-291;Nonoai
656;90840-090;Santa Tereza
657;90820-300;Cristal
658;90880-550;Santa Tereza
659;90843-330;Nonoai
660;90870-061;Glória
661;91420-650;Bom Jesus
662;91320-400;Vila Jardim
663;91320-440;Vila Jardim
664;91510-301;Coronel Aparício Borges
665;91760-631;Jardim Isabel
666;90830-601;Cristal
667;91910-690;Camaquã
668;91740-121;Cavalhada
669;91920-003;Camaquã
670;91750-083;Campo Novo
671;91712-202;Cascata
672;91710-550;Coronel Aparício Borges
673;90610-330;Jardim Botânico
674;91330-610;Vila Jardim
675;91790-401;Restinga
676;91787-631;Lami
677;91320-360;Vila Jardim
678;91430-560;Jardim Carvalho
679;91570-261;Lomba do Pinheiro
680;90840-291;Nonoai
681;90840-090;Santa Tereza
682;90820-300;Cristal
683;90880-550;Santa Tereza
684;90843-330;Nonoai
685;90870-061;Glória
686;91420-650;Bom Jesus
687;91320-400;Vila Jardim
688;91320-440;Vila Jardim
689;91510-301;Coronel Aparício Borges
690;91760-631;Jardim Isabel
691;90830-601;Cristal
692;91910-690;Camaquã
693;91740-121;Cavalhada
694;91920-003;Camaquã
695;91750-083;Campo Novo
696;91712-202;Cascata
697;91710-550;Coronel Aparício Borges
698;90610-330;Jardim Botânico
699;91330-610;Vila Jardim
700;91790-401;Restinga
701;91787-631;Lami
702;91320-360;Vila Jardim
703;91430-560;Jardim Carvalho
704;91570-261;Lomba do Pinheiro
705;90840-291;Nonoai
706;90840-090;Santa Tereza
707;90820-300;Cristal
708;90880-550;Santa Tereza
709;90843-330;Nonoai
710;90870-061;Glória
711;91420-650;Bom Jesus
712;91320-400;Vila Jardim
713;91320-440;Vila Jardim
714;91510-301;Coronel Aparício Borges
715;91760-631;Jardim Isabel
716;90830-601;Cristal
717;91910-690;Camaquã
718;91740-121;Cavalhada
719;91920-003;Camaquã
720;91750-083;Campo Novo
721;91712-202;Cascata
722;91710-550;Coronel Aparício Borges
723;90610-330;Jardim Botânico
724;91330-610;Vila Jardim
725;91790-401;Restinga
726;91787-631;Lami
727;91320-360;Vila Jardim
728;91430-560;Jardim Carvalho
729;91570-261;Lomba do Pinheiro
730;90840-291;Nonoai
731;90840-090;Santa Tereza
732;90820-300;Cristal
733;90880-550;Santa Tereza
734;90843-330;Nonoai
735;90870-061;Glória
736;91420-650;Bom Jesus
737;91320-400;Vila Jardim
738;91320-440;Vila Jardim
739;91510-301;Coronel Aparício Borges
740;91760-631;Jardim Isabel
741;90830-601;Cristal
742;91910-690;Camaquã
743;91740-121;Cavalhada
744;91920-003;Camaquã
745;91750-083;Campo Novo
746;91712-202;Cascata
747;91710-550;Coronel Aparício Borges
748;90610-330;Jardim Botânico
749;91330-610;Vila Jardim
750;91790-401;Restinga
751;91787-631;Lami
752;91320-360;Vila Jardim
753;91430-560;Jardim Carvalho
754;91570-261;Lomba do Pinheiro
755;90840-291;Nonoai
756;90840-090;Santa Tereza
757;90820-300;Cristal
758;90880-550;Santa Tereza
759;90843-330;Nonoai
760;90870-061;Glória
761;91420-650;Bom Jesus
762;91320-400;Vila Jardim
763;91320-440;Vila Jardim
764;91510-301;Coronel Aparício Borges
765;91760-631;Jardim Isabel
766;90830-601;Cristal
767;91910-690;Camaquã
768;91740-121;Cavalhada
769;91920-003;Camaquã
770;91750-083;Campo Novo
771;91712-202;Cascata
772;91710-550;Coronel Aparício Borges
773;90610-330;Jardim Botânico
774;91330-610;Vila Jardim
775;91790-401;Restinga
776;91787-631;Lami
777;91320-360;Vila Jardim
778;91430-560;Jardim Carvalho
779;91570-261;Lomba do Pinheiro
780;90840-291;Nonoai
781;90840-090;Santa Tereza
782;90820-300;Cristal
783;90880-550;Santa Tereza
784;90843-330;Nonoai
785;90870-061;Glória
786;91420-650;Bom Jesus
787;91320-400;Vila Jardim
788;91320-440;Vila Jardim
789;91510-301;Coronel Aparício Borges
790;91760-631;Jardim Isabel
791;90830-601;Cristal
792;91910-690;Camaquã
793;91740-121;Cavalhada
794;91920-003;Camaquã
795;91750-083;Campo Novo
796;91712-202;Cascata
797;91710-550;Coronel Aparício Borges
798;90610-330;Jardim Botânico
799;91330-610;Vila Jardim
800;91790-401;Restinga
801;91787-631;Lami
802;91320-360;Vila Jardim
803;91430-560;Jardim Carvalho
804;91570-261;Lomba do Pinheiro
805;90840-291;Nonoai
806;90840-090;Santa Tereza
807;90820-300;Cristal
808;90880-550;Santa Tereza
809;90843-330;Nonoai
810;90870-061;Glória
811;91420-650;Bom Jesus
812;91320-400;Vila Jardim
813;91320-440;Vila Jardim
814;91510-301;Coronel Aparício Borges
815;91760-631;Jardim Isabel
816;90830-601;Cristal
817;91910-690;Camaquã
818;91740-121;Cavalhada
819;91920-003;Camaquã
820;91750-083;Campo Novo
821;91712-202;Cascata
822;91710-550;Coronel Aparício Borges
823;90610-330;Jardim Botânico
824;91330-610;Vila Jardim
825;91790-401;Restinga
826;91787-631;Lami
827;91320-360;Vila Jardim
828;91430-560;Jardim Carvalho
829;91570-261;Lomba do Pinheiro
830;90840-291;Nonoai
831;90840-090;Santa Tereza
832;90820-300;Cristal
833;90880-550;Santa Tereza
834;90843-330;Nonoai
835;90870-061;Glória
836;91420-650;Bom Jesus
837;91320-400;Vila Jardim
838;91320-440;Vila Jardim
839;91510-301;Coronel Aparício Borges
840;91760-631;Jardim Isabel
841;90830-601;Cristal
842;91910-690;Camaquã
843;91740-121;Cavalhada
844;91920-003;Camaquã
845;91750-083;Campo Novo
846;91712-202;Cascata
847;91710-550;Coronel Aparício Borges
848;90610-330;Jardim Botânico
849;91330-610;Vila Jardim
850;91790-401;Restinga
851;91787-631;Lami
852;91320-360;Vila Jardim
853;91430-560;Jardim Carvalho
854;91570-261;Lomba do Pinheiro
855;90840-291;Nonoai
856;90840-090;Santa Tereza
857;90820-300;Cristal
858;90880-550;Santa Tereza
859;90843-330;Nonoai
860;90870-061;Glória
861;91420-650;Bom Jesus
862;91320-400;Vila Jardim
863;91320-440;Vila Jardim
864;91510-301;Coronel Aparício Borges
865;91760-631;Jardim Isabel
866;90830-601;Cristal
867;91910-690;Camaquã
868;91740-121;Cavalhada
869;91920-003;Camaquã
870;91750-083;Campo Novo
871;91712-202;Cascata
872;91710-550;Coronel Aparício Borges
873;90610-330;Jardim Botânico
874;91330-610;Vila Jardim
875;91790-401;Restinga
876;91787-631;Lami
877;91320-360;Vila Jardim
878;91430-560;Jardim Carvalho
879;91570-261;Lomba do Pinheiro
880;90840-291;Nonoai
881;90840-090;Santa Tereza
882;90820-300;Cristal
883;90880-550;Santa Tereza
884;90843-330;Nonoai
885;90870-061;Glória
886;91420-650;Bom Jesus
887;91320-400;Vila Jardim
888;91320-440;Vila Jardim
889;91510-301;Coronel Aparício Borges
890;91760-631;Jardim Isabel
891;90830-601;Cristal
892;91910-690;Camaquã
893;91740-121;Cavalhada
894;91920-003;Camaquã
895;91750-083;Campo Novo
896;91712-202;Cascata
897;91710-550;Coronel Aparício Borges
898;90610-330;Jardim Botânico
899;91330-610;Vila Jardim
900;91790-401;Restinga
901;91787-631;Lami
902;91320-360;Vila Jardim
903;91430-560;Jardim Carvalho
904;91570-261;Lomba do Pinheiro
905;90840-291;Nonoai
906;90840-090;Santa Tereza
907;90820-300;Cristal
908;90880-550;Santa Tereza
909;90843-330;Nonoai
910;90870-061;Glória
911;91420-650;Bom Jesus
912;91320-400;Vila Jardim
913;91320-440;Vila Jardim
914;91510-301;Coronel Aparício Borges
915;91760-631;Jardim Isabel
916;90830-601;Cristal
917;91910-690;Camaquã
918;91740-121;Cavalhada
919;91920-003;Camaquã
920;91750-083;Campo Novo
921;91712-202;Cascata
922;91710-550;Coronel Aparício Borges
923;90610-330;Jardim Botânico
924;91330-610;Vila Jardim
925;91790-401;Restinga
926;91787-631;Lami
927;91320-360;Vila Jardim
928;91430-560;Jardim Carvalho
929;91570-261;Lomba do Pinheiro
930;90840-291;Nonoai
931;90840-090;Santa Tereza
932;90820-300;Cristal
933;90880-550;Santa Tereza
934;90843-330;Nonoai
935;90870-061;Glória
936;91420-650;Bom Jesus
937;91320-400;Vila Jardim
938;91320-440;Vila Jardim
939;91510-301;Coronel Aparício Borges
940;91760-631;Jardim Isabel
941;90830-601;Cristal
942;91910-690;Camaquã
943;91740-121;Cavalhada
944;91920-003;Camaquã
945;91750-083;Campo Novo
946;91712-202;Cascata
947;91710-550;Coronel Aparício Borges
948;90610-330;Jardim Botânico
949;91330-610;Vila Jardim
950;91790-401;Restinga
951;91787-631;Lami
952;91320-360;Vila Jardim
953;91430-560;Jardim Carvalho
954;91570-261;Lomba do Pinheiro
955;90840-291;Nonoai
956;90840-090;Santa Tereza
957;90820-300;Cristal
958;90880-550;Santa Tereza
959;90843-330;Nonoai
960;90870-061;Glória
961;91420-650;Bom Jesus
962;91320-400;Vila Jardim
963;91320-440;Vila Jardim
964;91510-301;Coronel Aparício Borges
965;91760-631;Jardim Isabel
966;90830-601;Cristal
967;91910-690;Camaquã
968;91740-121;Cavalhada
